Date : 2021-12-08 22:43:59
Directory : c:\Users\19203\Desktop\news-font
Total : 275 files,  47224 codes, 276 comments, 1830 blanks, all 49330 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221401.vue              | Vue.js     |         80 |          1 |          6 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221408.vue              | Vue.js     |         80 |          1 |          6 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221411.vue              | Vue.js     |         80 |          1 |          6 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221435.vue              | Vue.js     |         80 |          0 |          7 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221504.vue              | Vue.js     |         79 |          0 |          8 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221510.vue              | Vue.js     |         79 |          0 |          7 |         86 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221517.vue              | Vue.js     |         79 |          0 |          7 |         86 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221530.vue              | Vue.js     |         79 |          0 |          7 |         86 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221544.vue              | Vue.js     |         79 |          0 |          7 |         86 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221608.vue              | Vue.js     |         79 |          0 |          8 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221615.vue              | Vue.js     |         79 |          0 |          8 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221620.vue              | Vue.js     |         79 |          0 |          8 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221641.vue              | Vue.js     |         78 |          0 |          8 |         86 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221647.vue              | Vue.js     |         79 |          0 |          7 |         86 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221700.vue              | Vue.js     |         78 |          0 |          8 |         86 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221707.vue              | Vue.js     |         79 |          0 |          7 |         86 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221712.vue              | Vue.js     |         79 |          0 |          7 |         86 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221719.vue              | Vue.js     |         79 |          0 |          7 |         86 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221740.vue              | Vue.js     |         80 |          0 |          7 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221750.vue              | Vue.js     |         80 |          0 |          8 |         88 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221854.vue              | Vue.js     |         79 |          0 |          8 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221900.vue              | Vue.js     |         79 |          0 |          8 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221939.vue              | Vue.js     |         81 |          0 |          8 |         89 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222249.vue              | Vue.js     |         80 |          0 |          7 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222257.vue              | Vue.js     |         79 |          0 |          7 |         86 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222315.vue              | Vue.js     |         79 |          0 |          7 |         86 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222332.vue              | Vue.js     |         79 |          0 |          7 |         86 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222346.vue              | Vue.js     |         80 |          0 |          7 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222404.vue              | Vue.js     |         80 |          0 |          7 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222424.vue              | Vue.js     |         80 |          0 |          7 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222427.vue              | Vue.js     |         80 |          0 |          7 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222446.vue              | Vue.js     |         80 |          0 |          7 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222450.vue              | Vue.js     |         80 |          0 |          7 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222509.vue              | Vue.js     |         80 |          0 |          7 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222523.vue              | Vue.js     |         79 |          0 |          8 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222536.vue              | Vue.js     |         80 |          0 |          8 |         88 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222539.vue              | Vue.js     |         80 |          0 |          8 |         88 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222636.vue              | Vue.js     |         80 |          0 |          7 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222739.vue              | Vue.js     |         81 |          0 |          7 |         88 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222830.vue              | Vue.js     |         81 |          0 |          7 |         88 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222932.vue              | Vue.js     |         81 |          2 |          7 |         90 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222937.vue              | Vue.js     |         81 |          2 |          7 |         90 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222942.vue              | Vue.js     |         81 |          2 |          7 |         90 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222946.vue              | Vue.js     |         81 |          2 |          7 |         90 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206222948.vue              | Vue.js     |         81 |          2 |          7 |         90 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206223214.vue              | Vue.js     |         81 |          2 |          7 |         90 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206223306.vue              | Vue.js     |         81 |          2 |          7 |         90 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206223312.vue              | Vue.js     |         81 |          2 |          7 |         90 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206143529.vue                       | Vue.js     |          9 |          0 |          4 |         13 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145157.vue                       | Vue.js     |         93 |          0 |          7 |        100 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145509.vue                       | Vue.js     |         96 |          0 |          7 |        103 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145528.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145555.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145559.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145618.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145623.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145628.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145639.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145645.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145706.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145714.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145722.vue                       | Vue.js     |         94 |          0 |          7 |        101 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145730.vue                       | Vue.js     |         94 |          0 |          7 |        101 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145802.vue                       | Vue.js     |         95 |          0 |          7 |        102 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145807.vue                       | Vue.js     |         95 |          0 |          7 |        102 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145814.vue                       | Vue.js     |         95 |          0 |          7 |        102 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145818.vue                       | Vue.js     |         95 |          0 |          7 |        102 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145825.vue                       | Vue.js     |         95 |          0 |          7 |        102 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145835.vue                       | Vue.js     |         95 |          0 |          7 |        102 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145841.vue                       | Vue.js     |         95 |          0 |          7 |        102 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145936.vue                       | Vue.js     |         96 |          0 |          7 |        103 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206145941.vue                       | Vue.js     |         96 |          0 |          7 |        103 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206150015.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206150228.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206150238.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206150308.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206150341.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206151006.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\login\index_20211206165734.vue                       | Vue.js     |         97 |          0 |          7 |        104 |
| c:\Users\19203\Desktop\news-font\.history\src\views\register\index_20211206143529.vue                    | Vue.js     |          9 |          0 |          4 |         13 |
| c:\Users\19203\Desktop\news-font\.history\src\views\register\index_20211206151234.vue                    | Vue.js     |        103 |          0 |          7 |        110 |
| c:\Users\19203\Desktop\news-font\.history\src\views\register\index_20211206151251.vue                    | Vue.js     |        103 |          0 |          7 |        110 |
| c:\Users\19203\Desktop\news-font\.history\src\views\register\index_20211206151831.vue                    | Vue.js     |        103 |          0 |          9 |        112 |
